index,input,output
825,-0.232731,-0.476129
826,-0.231558,-0.476155
827,-0.230386,-0.476181
828,-0.229213,-0.476207
829,-0.228041,-0.476233
830,-0.226869,-0.476259
831,-0.225696,-0.476285
832,-0.224524,-0.476311
833,-0.223351,-0.476337
834,-0.222179,-0.476363
835,-0.221006,-0.476388
836,-0.219834,-0.476414
837,-0.218661,-0.47644
838,-0.217489,-0.476466
839,-0.216317,-0.476492
840,-0.215144,-0.476517
841,-0.213972,-0.476543
842,-0.212799,-0.476569
843,-0.211627,-0.476594
844,-0.210454,-0.47662
845,-0.209282,-0.476645
846,-0.208109,-0.476671
847,-0.206937,-0.476696
848,-0.205765,-0.476722
849,-0.204592,-0.476747
850,-0.20342,-0.476773
851,-0.202247,-0.476798
852,-0.201075,-0.476824
853,-0.199902,-0.476849
854,-0.19873,-0.476874
855,-0.197557,-0.4769
856,-0.196385,-0.476925
857,-0.195212,-0.47695
858,-0.19404,-0.476976
859,-0.192868,-0.477001
860,-0.191695,-0.477026
861,-0.190523,-0.477051
862,-0.18935,-0.477076
863,-0.188178,-0.477101
864,-0.187005,-0.477126
865,-0.185833,-0.477151
866,-0.18466,-0.477176
867,-0.183488,-0.477201
868,-0.182316,-0.477226
869,-0.181143,-0.477251
870,-0.179971,-0.477276
871,-0.178798,-0.477301
872,-0.177626,-0.477326
873,-0.176453,-0.477351
874,-0.175281,-0.477376
875,-0.174109,-0.4774
876,-0.172936,-0.477425
877,-0.171764,-0.47745
878,-0.170591,-0.477475
879,-0.169419,-0.477499
880,-0.168246,-0.477524
881,-0.167074,-0.477549
882,-0.165901,-0.477573
883,-0.164729,-0.477598
884,-0.163556,-0.477622
885,-0.162384,-0.477647
886,-0.161211,-0.477671
887,-0.160039,-0.477696
888,-0.158867,-0.47772
889,-0.157694,-0.477745
890,-0.156522,-0.477769
891,-0.155349,-0.477794
892,-0.154177,-0.477818
893,-0.153004,-0.477842
894,-0.151832,-0.477867
895,-0.15066,-0.477891
896,-0.149487,-0.477915
897,-0.148315,-0.477939
898,-0.147142,-0.477964
899,-0.14597,-0.477988
900,-0.144797,-0.478012
901,-0.143625,-0.478036
902,-0.142452,-0.47806
903,-0.14128,-0.478084
904,-0.140108,-0.478108
905,-0.138935,-0.478132
906,-0.137763,-0.478156
907,-0.13659,-0.47818
908,-0.135418,-0.478204
909,-0.134245,-0.478228
910,-0.133073,-0.478252
911,-0.1319,-0.478276
912,-0.130728,-0.4783
913,-0.129555,-0.478324
914,-0.128383,-0.478347
915,-0.127211,-0.478371
916,-0.126038,-0.478395
